recall_id,recall_number,recall_date,year,title,segment,is_childrens,hazard_category,is_violation,injuries_reported,units,price_usd,sales_channel,n_countries,countries,primary_country,remedy_options,main_fiber,url
6697,16136,2016-04-06,2016,Ivanka Trump Scarves Recalled by GBG Accessories Group Due to Violation of Federal Flammability Standard,apparel,False,flammability_burn,True,False,20000.0,68.0,mixed,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2016/Ivanka-Trump-Scarves-Recalled-by-GBG-Accessories-Group
6708,16145,2016-04-15,2016,Miniland Educational Recalls Moogy Plush Toys Due to Choking Hazard,apparel,False,choking_small_parts,False,True,2000.0,33.0,mixed,1,India,India,Refund,,https://www.cpsc.gov/Recalls/2016/Miniland-Educational-Recalls-Moogy-Plush-Toys
6713,16150,2016-04-21,2016,SouvNear Recalls Women’s Scarves Due to Violation of Federal Flammability Standard,apparel,False,flammability_burn,True,False,650.0,24.0,mixed,1,India,India,Refund,,https://www.cpsc.gov/Recalls/2016/SouvNear-Recalls-Womens-Scarves
6721,16740,2016-05-05,2016,BRP Recalls Side-by-Side Off-Road Vehicles Due to Loss of Steering Control and Crash Hazard (Recall Alert),apparel,False,other,False,True,10600.0,16350.0,store_only,1,Mexico,Mexico,Repair,,https://www.cpsc.gov/Recalls/2016/BRP-Recalls-Side-By-Side-Off-Road-Vehicles
7866,17702,2016-10-04,2016,FULLBEAUTY Brands Recalls Children's Nightgowns Due to Violation of Federal Flammability Standard (Recall Alert),apparel,True,flammability_burn,True,False,31500.0,16.5,online_only,1,Pakistan,Pakistan,Refund,,https://www.cpsc.gov/Recalls/2017/FULLBEAUTY-Brands-Recalls-Childrens-Nightgowns
7880,17015,2016-10-14,2016,Salewa North America Recalls Khion Ski Boots Due to Fall Hazard,apparel,False,fall_slip,False,False,1300.0,850.0,mixed,1,Italy,Italy,Refund;Replace,,https://www.cpsc.gov/Recalls/2017/Salewa-North-America-Recalls-Khion-Ski-Boots
7908,17033,2016-11-16,2016,Skidders Footwear Recalls Children's Shoes Due to Laceration Hazard; Sold Exclusively at Meijer Stores,apparel,True,laceration_puncture,False,False,5500.0,10.0,store_only,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2017/Skidders-Footwear-Recalls-Childrens-Shoes
7909,17714,2016-11-22,2016,BRP Recalls Side-by-Side Off-Road Vehicles Due to Loss of Steering Control and Crash Hazard (Recall Alert),apparel,False,other,False,False,2380.0,25000.0,store_only,1,Mexico,Mexico,Repair,,https://www.cpsc.gov/Recalls/2017/BRP-Recalls-Side-by-Side-Off-Road-Vehicles-2
7945,17063,2017-01-04,2017,Walt Disney Parks and Resorts Recalls Minnie and Mickey Mouse Infant Hoodie Sweatshirts Due to Choking Hazard,apparel,True,choking_small_parts,False,False,15000.0,30.0,store_only,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2017/Walt-Disney-Parks-and-Resorts-Recalls-Minnie-and-Mickey-Mouse-Infant-Hoodie-Sweatshirts
7954,17726,2017-01-12,2017,BRP Recalls Side-by-Side Off-Road Vehicles Due to Injury Hazard (Recall Alert),apparel,False,other,False,False,780.0,12850.0,store_only,1,Mexico,Mexico,Repair,,https://www.cpsc.gov/Recalls/2017/BRP-Recalls-Side-by-Side-Off-Road-Vehicles-1
